Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a226;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;;1.64;0.105263158;0.2
a227;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.64;0.142857143;0.2
a228;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.814;;2;;0.2
a229;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;;1.74;0.125;0.178571429
a230;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.731;;1.92;;0.2
a231;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.6;;0.181818182
a232;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.2;;1.42;0.153846154;0.217391304
a233;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.48;0.166666667;0.181818182
a234;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;;1.52;0.125;0.2
a235;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.84;3.32;1.42;0.151515152;0.2
a236;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.52;;1.22;0.117647059;0.2
a237;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3;;1.3;0.148148148;0.210526316
a238;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.56;;1.18;;0.16
a239;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.36;;1.34;0.125;0.19047619
a240;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.88;;1.48;;0.178571429
a241;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.12;;0.94;0.125;0.153846154
a242;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;1.66;0.133333333;0.181818182
a243;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.4;;0.98;;0.125
a244;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.16;;1.18;;0.153846154
a245;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.96;;1.24;0.104166667;0.158730159
a246;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3;;1.32;;0.166666667
a247;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;1.68;;0.166666667
a248;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.64;;0.2
a249;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;1.64;2.28;0.8;0.1;0.125
a250;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.88;;1.32;0.125;0.166666667
a251;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.44;;1.58;0.142857143;0.210526316
a252;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.814;7.47;1.82;0.142857143;0.2
a253;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.565;;1.84;;0.222222222
a254;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.32;;1.34;;0.188679245
a255;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;;1.2;0.105263158;0.178571429
a256;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.54;;0.181818182
a257;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;6.64;2.12;0.192307692;0.23255814
a258;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;6.059;1.86;;0.181818182
a259;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;5.81;1.68;;0.210526316
a260;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.237;4.15;1.24;0.111111111;0.2
a261;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.6;0.153846154;0.2
a262;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.4;3.4;1.02;0.117647059;0.178571429
a263;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;;1.66;0.138888889;0.178571429
a264;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.2;;1.32;0.1;0.166666667
a265;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.96;;0.2
a266;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.82;;0.188679245
a267;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;1.76;2;0.84;0.090909091;0.166666667
a268;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.36;3.16;1.06;;0.142857143
a269;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.84;;1.16;0.1;0.166666667
a270;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;;1.2;0.111111111;0.166666667
a271;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.44;;1.12;0.1;0.173913043
a272;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;;1.34;;0.158730159
a273;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.68;0.142857143;0.188679245
a274;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.478;;2.8;0.181818182;0.222222222
a275;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.8;0.090909091;0.181818182
a276;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.64;;1.04;;0.153846154
a277;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;;2.16;;0.227272727
a278;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.96;;0.166666667
a279;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;5.063;1.64;0.142857143;0.210526316
a280;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.28;;1.3;0.095238095;0.166666667
a281;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.88;;1.16;0.129032258;0.210526316
a282;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.92;;1.24;;0.181818182
a283;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.36;;0.166666667
a284;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;5.976;1.72;0.076923077;0.166666667
a285;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.4;;1.1;;0.142857143
a286;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.2;7.1;2.3;0.178571429;0.217391304
a287;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.731;;1.88;;0.192307692
a288;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.312;;2.2;0.185185185;0.217391304
a289;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.7;;0.196078431
a290;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.814;;1.7;;0.181818182
a291;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.08;;0.94;;0.178571429
a292;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.92;;1.68;;0.217391304
a293;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.72;;0.188679245
a294;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.28;;0.172413793
a295;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.52;;1.16;;0.185185185
a296;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.56;;1.42;;0.2
a297;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.88;;1.08;0.133333333;0.2
a298;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.72;0.119047619;0.212765957
a299;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.72;;1.62;0.12195122;0.166666667
a300;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.04;;1.1;0.090909091;0.136986301
a301;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.08;;0.92;0.11627907;0.166666667
a302;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;1.64;0.135135135;0.2
a303;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.648;;1.84;0.147058824;0.196078431
a304;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;;1.64;;0.208333333
a305;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.64;;1.64;;0.222222222
a306;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.7;0.147058824;0.204081633
a307;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.6;0.125;0.212765957
a308;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.399;;2;;0.185185185
a309;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;;1.34;0.142857143;0.188679245
a310;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.28;0.125;0.188679245
a311;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.56;0.117647059;0.2
a312;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.76;0.144927536;0.212765957
a313;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.38;;0.181818182
a314;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.46;0.08;0.188679245
a315;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;;;1.38;;0.178571429
a316;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;;1.74;;0.208333333
a317;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.399;;1.6;0.131578947;0.192307692
a318;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;;1.68;;0.217391304
a319;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.54;0.147058824;0.2
a320;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.4;0.083333333;0.2
a321;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.237;;1.3;0.131578947;0.178571429
a322;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.46;;0.222222222
a323;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.49;;1.14;0.12345679;0.178571429
a324;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.36;0.108695652;0.172413793
a325;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;;1.52;0.136986301;0.178571429
a326;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.56;0.142857143;0.178571429
a327;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.4;0.131578947;0.196078431
a328;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;;1.56;;0.188679245
a329;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.7;0.125;0.181818182
a330;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.32;0.142857143;0.192307692
a331;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.822;;1.16;0.092592593;0.169491525
a332;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.5;;0.88;0.120481928;0.178571429
a333;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.44;;0.96;0.11627907;0.151515152
a334;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.04;;0.84;0.094339623;0.15625
a335;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.68;;1.3;0.144927536;0.208333333
a336;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.66;;0.188679245
a337;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.5;0.098039216;0.188679245
a338;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.648;;1.76;0.136986301;0.2
a339;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.897;;1.76;;0.222222222
a340;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.52;0.153846154;0.212765957
a341;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.731;;1.78;;0.208333333
a342;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;;1.34;0.138888889;0.2
a343;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.32;;1.14;0.142857143;0.2
a344;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.3;0.102040816;0.161290323
a345;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;;1.22;0.090909091;0.15625
a346;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;;1.56;;0.188679245
a347;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.56;0.106382979;0.192307692
a348;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.32;0.131578947;0.196078431
a349;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.26;;0.227272727
a350;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;;1.28;0.142857143;0.196078431
a351;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.16;;1.44;;0.2
a352;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.44;;0.8;;0.153846154
a353;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2;;0.96;;0.192307692
a354;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;;1.94;0.15625;0.208333333
a355;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;;1.34;0.12987013;0.204081633
a356;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.64;;1.32;0.135135135;0.212765957
a357;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.52;;0.2
a358;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.565;;1.76;;0.2
a359;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.58;;0.178571429
a360;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;;1.68;0.14084507;0.178571429
a361;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;;1.22;0.120481928;0.188679245
a362;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.8;;1.3;0.12345679;0.172413793
a363;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.52;;1.58;;0.175438596
a364;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.24;;1;0.12195122;0.161290323
a365;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.98;;2.08;0.172413793;0.208333333
a366;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.897;;1.8;;0.212765957
a367;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.192;;1.74;0.125;0.181818182
a368;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.82;;0.178571429
a369;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.96;0.166666667;0.212765957
a370;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.814;;1.94;0.142857143;0.2
a371;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.32;0.142857143;0.204081633
a372;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.98;0.161290323;0.217391304
a373;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;;1.48;;0.2
a374;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.8;0.128205128;0.2
a375;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.46;0.133333333;0.2
a376;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.7;0.142857143;0.222222222
a377;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.76;0.125;0.2
a378;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.22;0.11627907;0.188679245
a379;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.739;;1.2;;0.142857143
a380;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.739;;1.14;0.107526882;0.181818182
a381;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.18;0.125;0.153846154
a382;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.324;;1.16;;0.181818182
a383;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.573;;1.22;0.1;0.181818182
a384;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;;1.52;0.142857143;0.188679245
a385;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.656;;1.16;0.1;0.166666667
a386;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.48;0.12195122;0.181818182
a387;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.5;0.120481928;0.161290323
a388;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.68;0.147058824;0.217391304
a389;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;;1.76;;0.222222222
a390;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.44;0.107526882;0.208333333
a391;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.9;;0.204081633
a392;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.68;0.169491525;0.2
a393;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.46;0.125;0.188679245
a394;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;;1.84;;0.188679245
a395;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.66;0.125;0.208333333
a396;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.46;;0.2
a397;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.753;;1.4;;0.175438596
a398;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.407;;0.9;0.111111111;0.166666667
a399;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.656;;1.34;;0.175438596
a400;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;;1.54;0.125;0.2
a401;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.154;;1.44;0.117647059;0.217391304
a402;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.54;;0.166666667
a403;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;;1.9;0.117647059;0.204081633
a404;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;;1.5;;0.166666667
a405;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.24;0.087719298;0.178571429
a406;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.154;;1.54;0.138888889;0.196078431
a407;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.98;;1.96;0.133333333;0.178571429
a408;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.7;0.103092784;0.188679245
a409;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.66;0.142857143;0.2
a410;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;;1.66;0.136986301;0.208333333
a411;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.6;;0.2
a412;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.399;;1.9;0.158730159;0.212765957
a413;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.78;0.135135135;0.227272727
a414;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.8;0.166666667;0.217391304
a415;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;1.7;0.125;0.188679245
a416;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.324;;1.14;;0.175438596
