MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
DZL3-5C;Flesh Slicer;598000;16900000;70.84;28.7;2785.11;300.34;63.05;10000;285;1.56;119.52;169.11
DZL3-5D;Flesh Slicer;495000;8040000;43.61;16.25;1930.96;313.69;36.4;5290;265;1.09;144.75;280.92
DZL3-5E;Flesh Slicer;585000;7390000;41.63;12.64;4514.74;214.93;40.36;1680;175;0.45;156.06;230.73
DZL3-5F;Flesh Slicer;502000;6980000;64.03;13.9;2963.64;234.53;58.13;5540;285;2.84;136.36;290.99
DZL3-6;Flesh Slicer;1200000;110000000;209.69;91.82;2215.47;777.01;202.53;102000;900;4.46;126.77;547.87
DZL3-7;Flesh Slicer;572000;26000000;95.87;45.49;1969.23;363.16;86.82;23800;575;3.08;127.13;516.76
DZL3-8;Flesh Slicer;496000;13600000;65.25;27.3;1886.76;294.29;64.27;8380;400;1.81;143.94;365.51
DZL3-9;Flesh Slicer;697000;43900000;164.05;62.98;1109.63;781.5;156.33;63000;945;6.43;143.55;785.09
DZL3-12A;Flesh Slicer;245000;6730000;61.37;27.41;1008.24;254.11;67.8;10500;320;2.01;132.03;216.33
DZL3-12B;Flesh Slicer;254000;5380000;54.79;21.17;994.92;389.6;54.15;7720;315;2.04;147.7;313.89
DZL3-12C;Flesh Slicer;247000;8400000;76.19;33.96;587.37;466.93;79.84;25200;575;3.94;146.31;526.25
DZL3-12D;Flesh Slicer;145000;4170000;60.92;28.82;570.98;277.01;45.42;7390;345;2.45;154.44;462.77
DZL3-13A;Flesh Slicer;657000;20300000;75.54;30.97;1829.81;545.91;41.65;9940;565;1.35;165.64;1229.83
DZL3-13B;Flesh Slicer;1240000;55400000;98.89;44.8;3724.34;585.01;75.39;27200;625;2.87;149.51;769.69
DZL3-13C;Flesh Slicer;288000;14600000;134.86;50.63;597.79;609.96;122.39;41700;700;3.58;143.51;613.59
DZB1-1;Bone cruncher;13400000;1300000000;270.16;96.77;8638.12;3028.9;227.53;185000;2630;9.4;31.74;12807.6
DZB1-2;Bone cruncher;35200000;3490000000;342.18;99.28;12000.99;3166.24;368.19;569000;3440;21.9;167.3;8120.9
